mid,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
1990,838,Viggo Mortensen,Charlize Theron,Robert Duvall,Adventure Drama,the road
1991,839,Tanya Roberts,Donovan Scott,Ted Wass,Adventure Fantasy,sheena
1992,840,Cheech Marin,Nick Cannon,Kaylee DeFer,Action Comedy Crime Drama Thriller,underclassman
1993,685,Eddie Cibrian,Chris Klein,Jack Plotnick,Comedy Romance,say it isn't so
1994,147,Anthony Hopkins,Antony Starr,Craig Hall,Biography Drama Sport,the world's fastest indian
1995,505,Lin Shaye,Kenan Thompson,Rachel Blanchard,Action Adventure Crime Drama Thriller,snakes on a plane
1996,841,Naomi Watts,Lori Petty,Jeff Kober,Action Comedy Sci-Fi,tank girl
1997,842,Donald Faison,Loretta Devine,Regina Hall,Comedy Crime,king's ransom
1998,788,Don McKellar,Joe Pingue,Yûsuke Iseya,Drama Mystery Sci-Fi Thriller,blindness
1999,389,Meat Loaf,Udo Kier,Michael Paré,Action Adventure Fantasy Horror,bloodrayne
2000,336,Kate Winslet,Christoph Waltz,Julie Adams,Comedy Drama,carnage
2001,843,Colin Firth,Alison Lohman,Rachel Blanchard,Crime Drama Mystery Thriller,where the truth lies
2002,14,Dallas Barnett,Erica Linz,Igor Zaripov,Fantasy,cirque du soleil: worlds away
2003,844,Billy Burke,Monica Potter,Billy Crudup,Biography Drama Sport,without limits
2004,777,Zoe Kazan,Aidan McArdle,James Tupper,Drama,me and orson welles
2005,845,Jim Sturgess,Sean Buchanan,Liya Kebede,Crime Drama Mystery Romance,the best offer
2006,846,Nicolas Cage,Shea Whigham,Shawn Hatosy,Crime Drama,bad lieutenant: port of call new orleans
2007,847,Ed Begley Jr.,Jenny McCarthy,Stacy Keach,Adventure Animation Family,a turtle's tale: sammy's adventures
2008,809,François Cluzet,Benoît Magimel,Gilles Lellouche,Comedy Drama,little white lies
2009,333,Scout Taylor-Compton,Bai Ling,Gil Birmingham,Comedy Drama Romance Sport,love ranch
2010,848,Yolande Moreau,André Wilms,Jérôme Deschamps,Adventure Animation Comedy,the true story of puss'n boots
2011,849,Sergey Garmash,Evgeniy Mironov,Aleksandr Bashirov,Adventure Animation Comedy Family,space dogs
2012,19,Michael Fassbender,Brad Pitt,Goran Visnjic,Crime Drama Thriller,the counselor
2013,850,Jason Flemyng,Mackenzie Crook,Derek Jacobi,Action Adventure History Romance,ironclad
2014,851,Rod Steiger,Dan O'Herlihy,Jack Hawkins,Action Drama History War,waterloo
2015,852,Siu-Wong Fan,Charlie Yeung,Wai-Keung Lau,Action Drama,kung fu killer
2016,853,Martin Kove,Mario Van Peebles,Jacob Vargas,Action Thriller,red sky
2017,492,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,Drama Romance,dangerous liaisons
2018,386,Kristen Stewart,Viggo Mortensen,Kirsten Dunst,Adventure Drama,on the road
2019,854,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Adventure Comedy Sci-Fi,star trek iv: the voyage home
2020,235,Sylvester Stallone,Burt Young,Mike Tyson,Drama Sport,rocky balboa
2021,183,Ray Winstone,Edgar Ramírez,Delroy Lindo,Action Crime Sport Thriller,point break
2022,549,Omar Epps,Jada Pinkett Smith,Kevin Williamson,Horror Mystery,scream 2
2023,730,Natalie Portman,Noah Emmerich,Boyd Holbrook,Action Drama Western,jane got a gun
2024,136,Romany Malco,Regina Hall,David Walton,Comedy Romance,think like a man too
2025,593,Bruce Willis,Matthew Perry,Natasha Henstridge,Comedy Crime,the whole nine yards
2026,855,Dianne Wiest,Chris Penn,Lori Singer,Drama Music Romance,footloose
2027,236,Will Ferrell,Leah Remini,Patrick Fischler,Comedy,old school
2028,256,Jeff Bridges,David Hyde Pierce,Harry Shearer,Comedy Drama Fantasy,the fisher king
2029,666,Muse Watson,Mekhi Phifer,Bill Cobbs,Horror Mystery,i still know what you did last summer
2030,856,Minnie Driver,Jim Belushi,Bonnie Hunt,Comedy Drama Romance,return to me
2031,610,Gerry Bednob,Jeff Anderson,Jennifer Schwalbach Smith,Comedy Romance,zack and miri make a porno
2032,857,Morgan Freeman,Pruitt Taylor Vince,Kathleen Wilhoite,Comedy Crime Drama,nurse betty
2033,858,Kevin Spacey,Jeff Bridges,Stephen Root,Comedy War,the men who stare at goats
2034,859,Daniel Roebuck,Eddie Griffin,Garcelle Beauvais,Action Comedy Crime Thriller,double take
2035,142,Angelina Jolie Pitt,Clea DuVall,Vanessa Redgrave,Biography Drama,"girl, interrupted"
2036,276,Topher Grace,Gary Cole,Nathan Lane,Comedy Romance,win a date with tad hamilton!
2037,345,Josh Charles,F. Murray Abraham,David Arquette,Adventure Comedy Family Fantasy Music Sci-Fi,muppets from space
2038,860,Lena Horne,Diana Ross,Theresa Merritt,Adventure Family Fantasy Music Musical,the wiz
2039,356,Oliver Platt,Ellen Albertini Dow,Martin Landau,Comedy Sport,ready to rumble
2040,283,Willie Garson,Robert Wagner,Lolita Davidovich,Comedy Drama Sport,play it to the bone
2041,861,Olivia Munn,Busy Philipps,Jessica Szohr,Comedy Romance,i don't know how she does it
2042,631,Adam Scott,Kelly Brook,Jessica Szohr,Comedy Horror,piranha 3d
2043,862,Kevin Spacey,Bob Hoskins,Brenda Blethyn,Biography Drama Music Musical,beyond the sea
2044,741,Paul Walker,M.C. Gainey,A.J. Langer,Comedy Family,meet the deedles
2045,863,Donald Pleasence,Kenneth Williams,Clive Revill,Action Adventure Animation Comedy Fantasy,the princess and the cobbler
2046,864,Robert De Niro,F. Murray Abraham,Geraldine Chaplin,Drama Romance,the bridge of san luis rey
2047,658,Dwayne Johnson,Tom Berenger,Mike Epps,Action Crime Drama Thriller,faster
2048,657,Christian Bale,Blythe Danner,Jean Simmons,Adventure Animation Family Fantasy,howl's moving castle
2049,370,Emma Stone,Bill Murray,Derek Graf,Adventure Comedy Horror Sci-Fi,zombieland
2050,17,Naomi Watts,Thomas Kretschmann,Evan Parke,Action Adventure Drama Romance,king kong
2051,159,Adam Sandler,Clint Howard,Peter Dante,Comedy Sport,the waterboy
2052,614,Harrison Ford,Kenny Baker,Anthony Daniels,Action Adventure Fantasy Sci-Fi,star wars: episode v - the empire strikes back
2053,28,Will Smith,Tchéky Karyo,Theresa Randle,Action Comedy Crime Drama Thriller,bad boys
2054,496,George Kennedy,Priscilla Presley,O.J. Simpson,Comedy Crime,the naked gun 2½: the smell of fear
2055,482,Daniel Roebuck,Brendan Fehr,Kerr Smith,Horror Thriller,final destination
2056,300,Ryan Gosling,Philip Seymour Hoffman,Jennifer Ehle,Drama,the ides of march
2057,139,Vin Diesel,Radha Mitchell,Cole Hauser,Horror Sci-Fi,pitch black
2058,865,Hugh Jackman,Ellen Barkin,Catherine Dent,Comedy Romance,someone like you...
2059,175,Scarlett Johansson,Brian Johnson,Matt Letscher,Drama Romance Sci-Fi,her
2060,817,Hugh Jackman,Taron Egerton,Tim McInnerny,Biography Comedy Drama Sport,eddie the eagle
2061,391,Paul Walker,Jessica Bowman,Dell Yount,Mystery Thriller,joy ride
2062,866,Ioan Gruffudd,Keeley Hawes,Oliver Stark,Adventure Family Fantasy,the adventurer: the curse of the midas box
2063,403,Natalie Portman,Eva Amurri Martino,Shawn Hatosy,Comedy Drama,anywhere but here
2064,735,Annabella Sciorra,Stark Sands,Terence Maynard,Comedy Romance,chasing liberty
2065,867,Seymour Cassel,Dan Hedaya,Lainie Kazan,Comedy Crime,the crew
2066,152,Channing Tatum,Michael Fassbender,Michael Angarano,Action Thriller,haywire
2067,868,Judith Barsi,Mario Van Peebles,Lynn Whitfield,Adventure Horror Thriller,jaws: the revenge
2068,869,Leonardo DiCaprio,Robert De Niro,Meryl Streep,Drama,marvin's room
2069,870,Tasha Smith,Dash Mihok,Garrett Morris,Biography Comedy Drama Family Sport,the longshots
2070,436,Stephen Rea,Ian Hart,James Bolam,Drama Romance,the end of the affair
2071,515,Vanessa Williams,Tia Carrere,Don Johnson,Action Crime Drama Thriller Western,harley davidson and the marlboro man
2072,722,James Franco,Charlize Theron,Barry Corbin,Crime Drama Mystery Thriller,in the valley of elah
2073,871,Alessandro Nivola,Benoît Poelvoorde,Marie Gillain,Biography Drama,coco before chanel
2074,872,Demi Moore,Landon Liboiron,Michael Wincott,Drama Western,forsaken
2075,492,Tom Burke,Iben Hjejle,Gaye Brown,Comedy Drama Romance,chéri
2076,114,Cole Hauser,Sarah Carter,Derek Luke,Action Crime Drama Thriller,rogue 
2077,873,Romola Garai,Roger Lloyd Pack,Lillete Dubey,Drama,vanity fair
2078,852,Bingbing Fan,Simon Yam,Nicholas Tse,Action Drama History,bodyguards and assassins
2079,311,Drew Powell,Kim Thomson,Alexandra Silber,Fantasy Horror,1408
2080,874,Joan Rivers,Dick Van Patten,Michael Winslow,Adventure Comedy Sci-Fi,spaceballs
2081,875,Cem Yilmaz,Ryan Corr,Steve Bastoni,Drama War,the water diviner
2082,279,Demi Moore,Tony Goldwyn,Phil Leeds,Drama Fantasy Romance Thriller,ghost
2083,308,Sarah Silverman,Lin Shaye,Richard Tyson,Comedy Romance,there's something about mary
2084,369,Judge Reinhold,Eric Lloyd,Peter Boyle,Comedy Drama Family Fantasy,the santa clause
2085,200,Dennis Quaid,Jay Hernandez,Angus T. Jones,Drama Family Sport,the rookie
2086,446,Dwayne Johnson,Kyra Sedgwick,Madison Pettis,Comedy Family Sport,the game plan
2087,327,Clint Eastwood,Meryl Streep,Debra Monk,Drama Romance,the bridges of madison county
2088,627,Louis Lombardi,Michael Papajohn,Colleen Haskell,Comedy Sci-Fi,the animal
2089,756,Candice Bergen,Amrish Puri,John Gielgud,Biography Drama History,gandhi
2090,645,Manish Dayal,Charlotte Le Bon,Juhi Chawla,Comedy Drama,the hundred-foot journey
2091,570,Ken Howard,Jeremy Northam,Ray McKinnon,Action Crime Drama Mystery Thriller,the net
2092,876,Dianne Wiest,Loretta Devine,Richard Schiff,Drama,i am sam
2093,877,Roma Downey,Amber Rose Revah,Darwin Shaw,Biography Drama History,son of god
2094,158,Sophia Myles,Kevin Grevioux,Shane Brolly,Action Fantasy Thriller,underworld
2095,311,Denis O'Hare,RZA,Xzibit,Drama Thriller,derailed
2096,152,Matt Damon,Joel McHale,Thomas F. Wilson,Comedy Crime Drama Thriller,the informant!
2097,756,Anthony Hopkins,James Frain,Julian Fellowes,Biography Drama Romance,shadowlands
2098,878,Carlos Ponce,Eddie Griffin,Charles Keating,Comedy,deuce bigalow: european gigolo
2099,655,Jack Reynor,Bobby Moynihan,Matthew Daddario,Comedy Drama,delivery man
2100,525,Daniel Radcliffe,Spencer Wilding,Daniel Mays,Drama Horror Sci-Fi Thriller,victor frankenstein
2101,636,Radivoje Bukvic,Pawel Szajda,Grigoriy Dobrygin,Thriller,our kind of traitor
2102,207,Amanda Detmer,Neil Diamond,Kyle Gass,Comedy Crime Romance,saving silverman
2103,96,Zachary Gordon,Rachael Harris,Karan Brar,Comedy Family,diary of a wimpy kid: dog days
2104,438,Mira Sorvino,Jennifer Esposito,Mike Starr,Crime Drama Romance Thriller,summer of sam
2105,610,Will Ferrell,Shannon Elizabeth,Jason Mewes,Comedy,jay and silent bob strike back
2106,28,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,Action Adventure Romance Sci-Fi Thriller,the island
2107,879,Chris Noth,Bruce Dern,Trevor Morgan,Crime Drama Mystery Thriller,the glass house
2108,608,Scarlett Johansson,Channing Tatum,Alden Ehrenreich,Comedy Mystery,"hail, caesar!"
2109,880,Rosario Dawson,Paulo Costanzo,Aries Spears,Comedy Music,josie and the pussycats
2110,450,Jason Statham,James Franco,Frank Grillo,Action Crime Drama Thriller,homefront
2111,881,Richard E. Grant,Jim Carter,Alice Krige,Adventure Comedy Family Fantasy,the little vampire
2112,364,Naomi Watts,Lily Tomlin,Isabelle Huppert,Comedy,i heart huckabees
2113,882,CCH Pounder,Rip Torn,Mako,Action Crime Sci-Fi Thriller,robocop 3
2114,883,Michael Biehn,Udo Kier,Franco Nero,Action Adventure Fantasy Sci-Fi Thriller,megiddo: the omega code 2
2115,884,Rock Hudson,Vernon Dobtcheff,Jeremy Kemp,Comedy Drama Musical Romance War,darling lili
2116,633,Brendan Fraser,Alex Rocco,Eric Idle,Comedy Family Romance,dudley do-right
2117,767,Ed Skrein,Noémie Lenoir,Radivoje Bukvic,Action Crime Thriller,the transporter refueled
2118,885,Johnny Depp,Jack Davenport,Richard Coyle,Drama Romance,the libertine
2119,131,Michiel Huisman,Sebastian Koch,Christian Berkel,Drama Thriller War,black book
2120,886,Gary Lewis,Dany Boon,Ian Richardson,Drama History Music Romance War,joyeux noel
2121,887,Bradley Cooper,Tom Arnold,Beau Bridges,Action Comedy Romance,hit and run
2122,771,Stephen Root,Ted Danson,Roger Cross,Comedy Crime Thriller,mad money
2123,888,Colin Firth,Ben Crompton,Anne-Marie Duff,Drama Mystery Thriller,before i go to sleep
2124,411,Roy Scheider,Joe Spinell,Amidou,Adventure Drama Thriller,sorcerer
2125,889,Robert De Niro,Milla Jovovich,Frances Conroy,Drama Thriller,stone
2126,746,Romain Duris,Ludivine Sagnier,Fabrice Luchini,Comedy History,molière
2127,423,Christian Bale,Sam Shepard,Dendrie Taylor,Crime Drama Thriller,out of the furnace
2128,133,Tom Wilkinson,Denis O'Hare,Sydney Pollack,Crime Drama Mystery Thriller,michael clayton
2129,232,Wilford Brimley,Bradley Whitford,Sela Ward,Adventure Comedy,my fellow americans
2130,533,Jeff Bridges,Spencer Treat Clark,Hope Davis,Crime Drama Thriller,arlington road
2131,890,Pablo Rago,Diego Ramos,Gabriel Almirón,Adventure Animation Family Sport,underdogs
2132,697,Ornella Muti,Judy Davis,Alessandra Mastronardi,Comedy Romance,to rome with love
2133,327,Clint Eastwood,Warren Clarke,Kenneth Colley,Action Adventure Thriller,firefox
2134,891,Minnie Driver,Eric Idle,Trey Parker,Animation Comedy Fantasy Musical,south park: bigger longer & uncut
2135,190,Peter Dinklage,Ewen Bremner,Kris Marshall,Comedy,death at a funeral
2136,892,Paige Turco,John Aylward,Matt Hill,Action Adventure Comedy Family Fantasy Sci-Fi,teenage mutant ninja turtles iii
2137,356,Keanu Reeves,D.B. Sweeney,DeWayne Warren,Drama Sport,hardball
2138,364,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Comedy Drama Romance,silver linings playbook
2139,478,Hunter Parrish,Scott Glenn,Imelda Staunton,Biography Crime Drama,freedom writers
2140,796,Omari Hardwick,Loretta Devine,Kimberly Elise,Drama,for colored girls
2141,113,Jason Statham,Qi Shu,Matt Schulze,Action Crime Thriller,the transporter
2142,765,Djimon Hounsou,Neil Brown Jr.,Leslie Hope,Action Drama Sport,never back down
2143,893,Jason London,Rachel Blanchard,Eddie Kaye Thomas,Horror Sci-Fi Thriller,the rage: carrie 2
2144,114,Chris Harrison,unknown,unknown,Game-Show Reality-TV Romance,the bachelor 
2145,3,Catherine O'Hara,Jim Gaffigan,Carmen Ejogo,Comedy Drama Romance,away we go
2146,894,Madeline Carroll,Judge Reinhold,Nathan Lane,Comedy Drama,swing vote
2147,181,Jake Gyllenhaal,Holly Hunter,Bob Clendenin,Drama Romance,moonlight mile
2148,895,Benedict Cumberbatch,Colin Firth,Gary Oldman,Drama Mystery Thriller,tinker tailor soldier spy
2149,896,Elaine Hendrix,Jill Hennessy,Sarah Wynter,Comedy Drama Romance,molly
2150,780,Jennifer Lawrence,Cherry Jones,Riley Thomas Stewart,Drama,the beaver
2151,897,Dolly Parton,Barry Corbin,Dom DeLuise,Comedy Musical,the best little whorehouse in texas
2152,472,Jennifer Jason Leigh,Sarah Polley,Callum Rennie,Horror Sci-Fi Thriller,existenz
2153,39,Harrison Ford,Karen Allen,William Hootkins,Action Adventure,raiders of the lost ark
2154,127,Macaulay Culkin,Kieran Culkin,Devin Ratray,Adventure Comedy Family,home alone 2: lost in new york
2155,39,Bob Balaban,Teri Garr,Melinda Dillon,Drama Sci-Fi,close encounters of the third kind
2156,898,Ian Somerhalder,Christina Milian,Rick Gonzalez,Drama Horror Sci-Fi Thriller,pulse
2157,166,Dean Stockwell,Judge Reinhold,Ronny Cox,Action Comedy Crime Thriller,beverly hills cop ii
2158,240,Angus T. Jones,Kimberly J. Brown,Steve Harris,Comedy,bringing down the house
2159,251,Anthony Hopkins,Scott Glenn,Anthony Heald,Crime Drama Horror Thriller,the silence of the lambs
2160,899,Tia Carrere,Lara Flynn Boyle,Kurt Fuller,Comedy Music,wayne's world
2161,900,Bam Margera,Steve-O,Chris Pontius,Action Comedy Documentary,jackass 3d
2162,901,Roy Scheider,Murray Hamilton,Joseph Mascolo,Adventure Horror Thriller,jaws 2
2163,155,Jamie Lee Curtis,Nick Zano,Ali Hillis,Adventure Comedy Drama Family Romance,beverly hills chihuahua
2164,34,Mackenzie Foy,Lili Taylor,Hayley McFarland,Horror Mystery Thriller,the conjuring
2165,357,Nia Long,Tracy Morgan,Jay Mohr,Adventure Comedy Family Romance,are we there yet?
2166,755,Gary Cole,Mark Duplass,Ben Falcone,Comedy,tammy
2167,241,Sarah Roemer,Aaron Yoo,Jose Pablo Cantillo,Drama Mystery Thriller,disturbia
2168,777,Miranda Cosgrove,Sarah Silverman,Mike White,Comedy Music,school of rock
2169,217,Christopher Lambert,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,Action Adventure Fantasy Sci-Fi Thriller,mortal kombat
2170,525,Jessica Paré,Christopher Cousins,Mark Camacho,Drama Mystery Romance Thriller,wicker park
2171,340,Busy Philipps,Jaime King,Brittany Daniel,Comedy Crime,white chicks
2172,691,Shailene Woodley,Nick Krause,Beau Bridges,Comedy Drama,the descendants
2173,227,Tim Blake Nelson,Zane Holtz,Ski Carr,Adventure Comedy Drama Family Mystery,holes
2174,538,Kelly Preston,Bobby Coleman,Melissa Ordway,Drama Family Music Romance,the last song
2175,902,Quvenzhané Wallis,Scoot McNairy,Taran Killam,Biography Drama History,12 years a slave
2176,721,Leonard Roberts,Nick Cannon,Jason Weaver,Comedy Drama Music Romance,drumline
2177,796,Michael Jai White,Cicely Tyson,Tasha Smith,Comedy Drama Romance,why did i get married too?
2178,25,Johnny Depp,Dianne Wiest,Conchata Ferrell,Fantasy Romance,edward scissorhands
2179,903,Sam Claflin,Emilia Clarke,Brendan Coyle,Drama Romance,me before you
2180,796,John Amos,Tom Arnold,Romeo Miller,Comedy Crime Drama,madea's witness protection
2181,411,Roy Scheider,Fernando Rey,Tony Lo Bianco,Action Crime Drama Thriller,the french connection
2182,904,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,Comedy,bad moms
2183,905,Alyson Hannigan,Carmen Electra,Fred Willard,Comedy Romance,date movie
2184,906,Roger Rees,Rob Paulsen,Spencer Breslin,Adventure Animation Family Fantasy,return to never land
2185,907,David Oyelowo,Tom Wilkinson,Oprah Winfrey,Biography Drama History,selma
2186,908,Haley Joel Osment,Phil Collins,Tony Jay,Adventure Animation Family Musical,the jungle book 2
2187,573,Barry Watson,Skye McCole Bartusiak,Charles Mesure,Drama Horror Mystery Thriller,boogeyman
2188,909,Nia Long,Amber Valletta,Marc Macaulay,Drama Mystery Thriller,premonition
2189,910,Kath Soucie,John Fiedler,Ken Sansom,Animation Comedy Drama Family Musical,the tigger movie
2190,445,Jimmy Bennett,CCH Pounder,Aryana Engineer,Horror Mystery Thriller,orphan
2191,667,Jay Hernandez,Joseph Julian Soria,Edgar Arreola,Adventure Family,max
2192,114,Lamman Rucker,David Mann,Denise Boutte,Comedy,meet the browns 
2193,706,David Carradine,Carmen Electra,Fred Willard,Adventure Comedy,epic movie
2194,214,William Smith,Mako,Sandahl Bergman,Adventure Fantasy,conan the barbarian
2195,911,Billy Crudup,Jamey Sheridan,Brian d'Arcy James,Biography Crime Drama History,spotlight
2196,857,Jay Hernandez,Justin Chambers,Robert Pine,Crime Drama Thriller,lakeview terrace
2197,912,Sarah Michelle Gellar,Sarah Roemer,Matthew Knight,Horror Thriller,the grudge 2
2198,620,Richard Lawson,James Pickens Jr.,Barry Shabaka Henley,Comedy Drama Romance,how stella got her groove back
2199,442,Keanu Reeves,George Carlin,Alex Winter,Adventure Comedy Fantasy Music Sci-Fi,bill & ted's bogus journey
2200,278,Robin Williams,Tina Fey,Amy Poehler,Comedy Drama Romance Thriller,man of the year
2201,913,Robert Forster,Maximilian Schell,Yvette Mimieux,Action Sci-Fi,the black hole
2202,914,Violante Placido,Thekla Reuten,Filippo Timi,Crime Drama Thriller,the american
2203,915,Jon Seda,Constance Marie,Jacob Vargas,Biography Drama Music,selena
2204,706,Diedrich Bader,Dave Foley,Anneliese van der Pol,Comedy,vampires suck
2205,115,Brad Pitt,Harriet Walter,Dermot Crowley,Drama,babel
2206,81,Tina Fey,Abigail Spencer,Jane Fonda,Comedy Drama,this is where i leave you
2207,916,Philip Seymour Hoffman,Meryl Streep,Carrie Preston,Drama Mystery,doubt
2208,891,Jeremy Shada,Maurice LaMarche,Trey Parker,Action Comedy,team america: world police
2209,673,Gunnar Hansen,Keram Malicki-Sánchez,Shaun Sipos,Horror Thriller,texas chainsaw 3d
2210,231,William McNamara,Holly Hunter,Harry Connick Jr.,Crime Drama Mystery Thriller,copycat
2211,580,Marisa Saks,Snoop Dogg,Molly Shannon,Comedy,scary movie 5
2212,917,Clint Eastwood,Lee Marvin,Ray Walston,Comedy Drama Musical Romance Western,paint your wagon
2213,526,James Franco,Denis O'Hare,Lucas Grabeel,Biography Drama History,milk
2214,54,Peter Firth,Jan Cornet,María Botto,Action Adventure Drama Mystery,risen
2215,918,Isaiah Washington,Ron Eldard,Francesca Rettondini,Horror,ghost ship
2216,919,Patton Oswalt,Thomas Lennon,Paula Garcés,Adventure Comedy,a very harold & kumar 3d christmas
2217,920,Bill Murray,Robert Wagner,Jeff Perry,Crime Drama Mystery Thriller,wild things
2218,921,Sela Ward,Paige Turco,Skyler Samuels,Crime Thriller,the stepfather
2219,398,Tom Wilkinson,Jesper Christensen,Romi Aboulafia,Drama Thriller,the debt
2220,492,Drake Bell,Lili Taylor,Lisa Bonet,Comedy Drama Music Romance,high fidelity
2221,922,Johnny Lewis,Jason Beghe,Margaret Cho,Horror Mystery,one missed call
2222,829,Joe Mantegna,Beverly D'Angelo,Philip Baker Hall,Crime Drama Thriller,eye for an eye
2223,147,Jason Statham,Saffron Burrows,Daniel Mays,Crime Drama Romance Thriller,the bank job
2224,153,Kate Winslet,Kirsten Dunst,Tom Wilkinson,Drama Fantasy Romance Sci-Fi,eternal sunshine of the spotless mind
2225,446,Jamie Lee Curtis,James Wolk,Christine Lakin,Comedy Family Romance,you again
2226,51,Keanu Reeves,Chris Evans,Noel Gugliemi,Action Crime Drama Thriller,street kings
2227,230,Michael Smiley,Thomas Law,Jasper Levine,Action Comedy Sci-Fi,the world's end
2228,923,Kay Panabaker,Laura Harring,Tate Donovan,Comedy Crime Family Mystery Romance Thriller,nancy drew
2229,924,Jay Laga'aia,Damien Garvey,Tiffany Lamb,Action Horror Sci-Fi Thriller,daybreakers
2230,925,Mike Vogel,Kim Shaw,Geoff Stults,Comedy Romance,she's out of my league
2231,926,Leighton Meester,Luke Bracey,Brett Cullen,Adventure Comedy Family Romance,monte carlo
2232,927,Adam Goldberg,Frankie Muniz,Samaire Armstrong,Horror Thriller,stay alive
2233,515,Alan Rickman,Tom Selleck,Ben Mendelsohn,Action Adventure Drama Romance Western,quigley down under
2234,928,Kevin Sussman,Larry Miller,Christine Lakin,Adventure Animation Comedy Family Romance,alpha and omega
2235,201,Laura Ramsey,Kyle Schmid,Toby Hemingway,Action Fantasy Horror Thriller,the covenant
2236,929,Jeff Bridges,Vanessa Lengies,John Patrick Amedori,Comedy Drama Sport,stick it
2237,424,Jimmy Bennett,Leo Howard,Jake Short,Comedy Family Fantasy,shorts
2238,526,Kurtwood Smith,Wayne Knight,Holland Taylor,Comedy Crime Drama,to die for
2239,930,Samira Wiley,Marc John Jefferies,Emily Meade,Adventure Crime Mystery Sci-Fi Thriller,nerve
2240,931,Viggo Mortensen,James Gammon,Tom Bower,Crime Drama Western,appaloosa
2241,470,Sheryl Lee,Cary-Hiroyuki Tagawa,Maximilian Schell,Action Horror Thriller,vampires
2242,114,Pablo Sevilla,unknown,unknown,Action Adventure Animation Family Fantasy,yu-gi-oh! duel monsters 
2243,932,Janet Leigh,Vera Miles,John Gavin,Horror Mystery Thriller,psycho
2244,457,Dane Cook,Taran Killam,Riki Lindhome,Comedy Romance,my best friend's girl
2245,933,Alex Pettyfer,Bruce Greenwood,Rhys Wakefield,Drama Romance,endless love
2246,294,Hector Elizondo,Zachary Gordon,Jane Fonda,Comedy Drama,georgia rule
2247,934,Mako,Adam Arkin,Billy Barty,Comedy,under the rainbow
2248,106,Matthew Broderick,John Wood,Leo McKern,Adventure Comedy Drama Fantasy,ladyhawke
2249,137,Oliver Platt,Jan Hooks,Dana Ivey,Comedy Drama Family,simon birch
2250,935,Adam Sandler,Don Cheadle,John de Lancie,Drama,reign over me
2251,513,Kristen Stewart,William Hurt,Hal Holbrook,Adventure Biography Drama,into the wild
2252,236,Jon Heder,Sarah Silverman,Jacinda Barrett,Comedy,school for scoundrels
2253,936,Radha Mitchell,Deborah Kara Unger,Martin Donovan,Adventure Drama Horror Mystery Thriller,silent hill: revelation 3d
2254,424,Quentin Tarantino,Salma Hayek,Cheech Marin,Crime Fantasy Horror,from dusk till dawn
2255,937,Kath Soucie,Brenda Blethyn,John Fiedler,Animation Family Fantasy Mystery,pooh's heffalump movie
2256,780,Robert Downey Jr.,Holly Hunter,Steve Guttenberg,Comedy Drama Romance,home for the holidays
2257,938,Shengyi Huang,Chi Ling Chiu,Qiu Yuen,Action Comedy Crime Fantasy,kung fu hustle
2258,114,Leah Remini,Mark Feuerstein,Sharon Lawrence,Comedy,fired up 
2259,939,Haley Joel Osment,Alex Rocco,Stephen Root,Comedy Family Music Musical,the country bears
2260,13,Mustafa Haidari,Shaun Toub,Khalid Abdalla,Drama,the kite runner
2261,115,Naomi Watts,Eddie Marsan,Danny Huston,Drama,21 grams
2262,940,Cole Hauser,Tom Hollander,Kelly Carlson,Action Crime Drama Thriller,paparazzi
2263,535,Kristen Stewart,Taylor Lautner,Anna Kendrick,Drama Fantasy Romance,twilight
2264,941,Thomas Lennon,Lochlyn Munro,James Brolin,Comedy Romance,a guy thing
2265,942,Andy Dick,Robert Miano,Zak Orth,Comedy Romance,loser
2266,943,Ronald Reagan,Michael Moore,Bernie Sanders,Crime Documentary News,capitalism: a love story
2267,944,Martin Landau,Carroll Baker,José Ferrer,Biography Drama History,the greatest story ever told
2268,945,Julia Roberts,Michael Kelly,Joe Cole,Crime Drama Mystery Thriller,secret in their eyes
2269,706,Carmen Electra,Tony Cox,Ike Barinholtz,Comedy,disaster movie
2270,555,Andrew Fiscella,Fred Ward,Lorna Raver,Action Crime Thriller,armored
2271,231,Bill Murray,Peter Gallagher,Joanne Whalley,Action Comedy Crime Thriller,the man who knew too little
2272,946,Chris Evans,Ari Graynor,Ed Begley Jr.,Comedy Romance,what's your number?
2273,947,Joseph Gilgun,Vincent Regan,Jacky Ido,Action Adventure Sci-Fi Thriller,lockout
2274,278,Amy Poehler,Ariel Gade,Sam Lerner,Comedy,envy
2275,397,Jason Statham,Clifton Collins Jr.,David Carradine,Action Crime Sci-Fi Thriller,crank: high voltage
2276,697,Jim Broadbent,Chazz Palminteri,Dianne Wiest,Comedy Crime,bullets over broadway
2277,948,James Callis,Tiffany Dupont,Nimrat Kaur,Biography Drama History,one night with the king
2278,121,Brendan Fraser,Tzi Ma,Holmes Osborne,Drama Mystery Romance Thriller War,the quiet american
2279,2,Nicolas Cage,Hope Davis,Michael Rispoli,Comedy Drama,the weather man
2280,383,Fisher Stevens,Wes Studi,Jon Seda,Action Crime Drama Sport,undisputed
